DEBUG:root:Episode 83   Average Score: 5.115    Current (avg) Score: 12.379
DEBUG:root:Episode 84   Average Score: 5.210    Current (avg) Score: 13.139
DEBUG:root:Episode 85   Average Score: 5.295    Current (avg) Score: 12.432
DEBUG:root:Episode 86   Average Score: 5.402    Current (avg) Score: 14.447
DEBUG:root:Episode 87   Average Score: 5.505    Current (avg) Score: 14.380
DEBUG:root:Episode 88   Average Score: 5.615    Current (avg) Score: 15.235
DEBUG:root:Episode 89   Average Score: 5.711    Current (avg) Score: 14.091
DEBUG:root:Episode 90   Average Score: 5.830    Current (avg) Score: 16.491
DEBUG:root:Episode 91   Average Score: 5.950    Current (avg) Score: 16.730
DEBUG:root:Episode 92   Average Score: 6.047    Current (avg) Score: 14.864
DEBUG:root:Episode 93   Average Score: 6.158    Current (avg) Score: 16.411
DEBUG:root:Episode 94   Average Score: 6.268    Current (avg) Score: 16.444
DEBUG:root:Episode 95   Average Score: 6.377    Current (avg) Score: 16.593
DEBUG:root:Episode 96   Average Score: 6.493    Current (avg) Score: 17.548
DEBUG:root:Episode 97   Average Score: 6.604    Current (avg) Score: 17.241
DEBUG:root:Episode 98   Average Score: 6.712    Current (avg) Score: 17.237
DEBUG:root:Episode 99   Average Score: 6.817    Current (avg) Score: 17.078                                    
DEBUG:root:Episode 100  Average Score: 6.932    Current (avg) Score: 18.300
INFO:root:Episode 100   Average Score: 6.932                                
INFO:root:Saving checkpoint file...                                                                            
DEBUG:root:Episode 101  Average Score: 7.123    Current (avg) Score: 19.640
DEBUG:root:Episode 102  Average Score: 7.311    Current (avg) Score: 19.381
DEBUG:root:Episode 103  Average Score: 7.512    Current (avg) Score: 20.876
DEBUG:root:Episode 104  Average Score: 7.717    Current (avg) Score: 21.368
DEBUG:root:Episode 105  Average Score: 7.918    Current (avg) Score: 20.889
DEBUG:root:Episode 106  Average Score: 8.115    Current (avg) Score: 20.353
DEBUG:root:Episode 107  Average Score: 8.325    Current (avg) Score: 21.638
DEBUG:root:Episode 108  Average Score: 8.556    Current (avg) Score: 23.805
DEBUG:root:Episode 109  Average Score: 8.771    Current (avg) Score: 22.216
DEBUG:root:Episode 110  Average Score: 8.989    Current (avg) Score: 22.780
DEBUG:root:Episode 111  Average Score: 9.199    Current (avg) Score: 21.795
DEBUG:root:Episode 112  Average Score: 9.405    Current (avg) Score: 21.402
DEBUG:root:Episode 113  Average Score: 9.643    Current (avg) Score: 24.865
DEBUG:root:Episode 114  Average Score: 9.870    Current (avg) Score: 23.870
DEBUG:root:Episode 115  Average Score: 10.095   Current (avg) Score: 23.804
DEBUG:root:Episode 116  Average Score: 10.349   Current (avg) Score: 26.496
DEBUG:root:Episode 117  Average Score: 10.588   Current (avg) Score: 25.256
DEBUG:root:Episode 118  Average Score: 10.841   Current (avg) Score: 26.696
DEBUG:root:Episode 119  Average Score: 11.103   Current (avg) Score: 27.970
DEBUG:root:Episode 120  Average Score: 11.348   Current (avg) Score: 26.071
DEBUG:root:Episode 121  Average Score: 11.594   Current (avg) Score: 26.176
DEBUG:root:Episode 122  Average Score: 11.845   Current (avg) Score: 26.501
DEBUG:root:Episode 123  Average Score: 12.103   Current (avg) Score: 27.616                                    
DEBUG:root:Episode 124  Average Score: 12.345   Current (avg) Score: 26.153
DEBUG:root:Episode 125  Average Score: 12.610   Current (avg) Score: 28.201 
DEBUG:root:Episode 126  Average Score: 12.870   Current (avg) Score: 28.185                                    
DEBUG:root:Episode 127  Average Score: 13.131   Current (avg) Score: 28.270
